exp_id	date	tps	mfu_percent	step_time_ms	peak_hbm_gib	config	status	description
baseline	2026-04-22	32900	26.0	249.0	29.69	seq=2048|batch=1|fsdp=4|bf16	keep	initial baseline at seq=2048; NaN loss at seq=2048 flagged; seq=1024 subset clean
baseline-seq1024	2026-04-23	30570	23.0	134.4	n/a	seq=1024|batch=1|fsdp=4|bf16	keep	20-step loss-descent confirmation at seq=1024; loss 3.93 → 1.97; canonical pre-experiment reference
exp01	2026-04-23	24300	n/a	168.3	n/a	seq=1024|batch=1|fsdp=4|bf16|LIBTPU:async_collective_fusion+latency_hiding	discard	async-collective XLA flag bundle; -25% regression; compute-fusion memory traffic blew up
exp02	2026-04-23	0.0	0.0	0.00	0.0	seq=1024|batch=1|fsdp=4|bf16|jit_out_shardings	crash	attempted to pin out_shardings to fix step-1 recompile; tied-weight sharding collapsed to single-device; jit rejected mismatch; reverted
exp03	2026-04-23	23900	n/a	171.4	21.08	seq=1024|batch=1|fsdp=4|bf16|jax.checkpoint(forward_loss)	keep	full activation remat; -22% TPS but -29% peak HBM (95%→67%); memory-first prep for batch growth; loss unchanged
exp04	2026-04-23	27840	n/a	294.3	28.79	seq=1024|batch=2|fsdp=4|bf16|jax.checkpoint(forward_loss)	discard	doubled batch under full remat; +16.5% over exp3 but net -8.9% vs baseline; HBM 92% leaves no headroom for batch=4; chain refuted
exp05	2026-04-23	28035	n/a	146.1	19.32	seq=1024|batch=1|fsdp=4|bf16|jax.checkpoint(forward_loss, checkpoint_dots_with_no_batch_dims)	keep	selective remat; only +8.7% step time (vs full remat's +27.5%); -38% peak HBM (95%→62%); no forward doubling; 11.9 GiB free for batch growth
exp06	2026-04-23	30925	n/a	264.9	25.92	seq=1024|batch=2|fsdp=4|bf16|selective_remat	keep	selective remat + batch=2; first experiment to beat baseline (+1.2% TPS); HBM 83% still has headroom
exp07	2026-04-23	29720	n/a	413.5	30.50	seq=1024|batch=3|fsdp=4|bf16|selective_remat	discard	selective remat + batch=3; HBM 97.6% nearly OOM; per-token cost 33.7 µs (worse than batch=2's 32.3); memory pressure degrades per-token efficiency; batch=2 is the sweet spot
exp08	2026-04-23	31387	n/a	261.0	25.85	seq=1024|batch=2|fsdp=4|bf16|selective_remat|splash_pallas	keep	FIRST PALLAS EXPERIMENT. Swapped XLA SDPA for splash_attention via shard_map+call_jax; +2.7% over baseline (new best); loss match; HBM unchanged at seq=1024 (N² too small to matter); splash adds 122 ms custom-call op replacing part of convolution+loop fusion
exp09	2026-04-23	31148	n/a	263.0	25.76	seq=2048|batch=1|fsdp=4|bf16|selective_remat|splash_pallas	keep	splash + seq=2048 batch=1; *FIXED NaN* that was open since baseline (splash's online-max softmax is numerically stable); loss 3.26→1.50 clean descent; +1.9% TPS over baseline seq=1024; unblocks long-seq training
exp10	2026-04-23	0.0	0.0	0.00	0.0	seq=2048|batch=2|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE	crash	CompileTimeHbmOom at seq=2048 batch=2 even with bf16 CE saving ~2 GiB fp32 logits; OOM by 1.25 GiB (32.49G > 31.25G); need offload remat
exp11	2026-04-23	0.0	0.0	0.00	0.0	seq=2048|batch=2|fsdp=4|bf16|offload_remat|splash_pallas	crash	offload_dot_with_no_batch_dims (host-offload) didn't reduce compile-time peak; OOM 32.48G of 31.25 (1.24G over) — same as checkpoint variant; XLA planner doesn't account for host-offload as freed HBM at compile time
exp12	2026-04-23	32340	n/a	253.3	24.79	seq=1024|batch=2|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE	keep	NEW BEST +5.8% over baseline; splash + bf16 CE stack cleanly; loss trajectory identical to exp 8 (fp32 CE) despite bf16 log-softmax — Gemma 4's final_logit_softcapping=30.0 keeps logits bounded so bf16 CE is stable
exp13	2026-04-23	28700	n/a	285.4	n/a	seq=1024|batch=2|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|async_collective_flags	discard	async-collective XLA flag bundle revisited on best config (splash+bf16CE); still regresses (+12.7% step time); same mechanism as exp 1 — scheduler reorder breaks compute-fusion locality; permanently park these flags at this scale
exp14	2026-04-23	31960	n/a	256.3	n/a	seq=2048|batch=1|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE	keep	splash+bf16 CE at seq=2048 b=1 (comparison to exp 9); TPS 31,960 — just below exp 12's 32,340 with same tokens/step; batch=2/seq=1024 edges batch=1/seq=2048 by ~1.2%; bf16 CE saved ~2.5% step time vs exp 9's fp32 CE
exp15	2026-04-23	32717	n/a	375.5	30.87	seq=1024|batch=3|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE	keep	NEW BEST +7.0% over baseline; batch=3 fits now because splash+bf16 CE freed enough memory (vs exp 7 which OOM'd at 97.6%); HBM 98.78% right at ceiling; loss descent healthy; per-token 30.56 µs
exp16	2026-04-23	32027	n/a	255.8	n/a	seq=1024|batch=2|fsdp=4|bf16|selective_remat|splash_pallas|bf16_CE|fused_bwd_kernel=True(broken)	invalid	set use_fused_bwd_kernel=True but left dq block-size params set; splash errored with 'Block sizes for dq kernel are not needed with a fused kernel'; XLA fallback fired for every layer — this number is XLA attention, not splash-fused-bwd; need to omit block_q_dq/block_kv_dq when fused_bwd=True (exp 17 branch does this); interesting side-finding: XLA fallback at this config is within 2 ms of splash
