shape_label,phase,config,block_q,block_kv,q_layout,k_layout,v_layout,fused_bwd,block_q_dkv,block_kv_dkv,block_q_dq,block_kv_dq,ms,TFLOP/s
seq=1024 bs=4 (exp3 shape),fwd,0,256,256,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,1.2602,54.53
seq=1024 bs=4 (exp3 shape),fwd,1,256,256,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,1.2800,53.69
seq=1024 bs=4 (exp3 shape),fwd,2,256,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.7621,90.18
seq=1024 bs=4 (exp3 shape),fwd,3,256,512,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.8116,84.67
seq=1024 bs=4 (exp3 shape),fwd,4,256,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.5224,131.55
seq=1024 bs=4 (exp3 shape),fwd,5,256,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.5560,123.59
seq=1024 bs=4 (exp3 shape),fwd,6,512,256,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.7527,91.30
seq=1024 bs=4 (exp3 shape),fwd,7,512,256,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.7929,86.67
seq=1024 bs=4 (exp3 shape),fwd,8,512,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.4540,151.36
seq=1024 bs=4 (exp3 shape),fwd,9,512,512,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.5160,133.17
seq=1024 bs=4 (exp3 shape),fwd,10,512,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.3859,178.09
seq=1024 bs=4 (exp3 shape),fwd,11,512,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.4305,159.61
seq=1024 bs=4 (exp3 shape),fwd,12,1024,256,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.5325,129.05
seq=1024 bs=4 (exp3 shape),fwd,13,1024,256,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.5746,119.59
seq=1024 bs=4 (exp3 shape),fwd,14,1024,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.3815,180.13
seq=1024 bs=4 (exp3 shape),fwd,15,1024,512,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.4163,165.08
seq=1024 bs=4 (exp3 shape),fwd,16,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.3199,214.81
seq=1024 bs=4 (exp3 shape),fwd,17,1024,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.3712,185.13
seq=1024 bs=4 (exp3 shape),full,0,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,512,n/a,n/a,1.1777,175.05
seq=1024 bs=4 (exp3 shape),full,1,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,1024,n/a,n/a,1.0434,197.58
seq=1024 bs=4 (exp3 shape),full,2,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,512,n/a,n/a,1.1229,183.60
seq=1024 bs=4 (exp3 shape),full,3,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,1024,n/a,n/a,0.9598,214.79
seq=1024 bs=4 (exp3 shape),full,4,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,512,512,512,1.6436,125.43
seq=1024 bs=4 (exp3 shape),full,5,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,1024,512,1024,1.3799,149.40
seq=1024 bs=4 (exp3 shape),full,6,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,512,1024,512,1.3549,152.16
seq=1024 bs=4 (exp3 shape),full,7,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,1024,1024,1024,1.2457,165.50
seq=1024 bs=4 (exp3 shape),full,8,1024,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,512,n/a,n/a,1.2174,169.34
seq=1024 bs=4 (exp3 shape),full,9,1024,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,1024,n/a,n/a,1.0747,191.84
seq=1024 bs=4 (exp3 shape),full,10,1024,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,512,n/a,n/a,1.1514,179.05
seq=1024 bs=4 (exp3 shape),full,11,1024,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,1024,n/a,n/a,0.9953,207.14
seq=1024 bs=4 (exp3 shape),full,12,1024,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,512,512,512,1.6867,122.23
seq=1024 bs=4 (exp3 shape),full,13,1024,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,1024,512,1024,1.4101,146.21
seq=1024 bs=4 (exp3 shape),full,14,1024,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,512,1024,512,1.3713,150.34
seq=1024 bs=4 (exp3 shape),full,15,1024,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,1024,1024,1024,1.2685,162.52
seq=1024 bs=4 (exp3 shape),full,16,1024,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,512,n/a,n/a,1.2350,166.93
seq=1024 bs=4 (exp3 shape),full,17,1024,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,512,1024,n/a,n/a,1.1009,187.26
seq=1024 bs=4 (exp3 shape),full,18,1024,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,512,n/a,n/a,1.1813,174.52
seq=1024 bs=4 (exp3 shape),full,19,1024,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,T,1024,1024,n/a,n/a,1.0181,202.49
seq=1024 bs=4 (exp3 shape),full,20,1024,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,512,512,512,1.7060,120.84
seq=1024 bs=4 (exp3 shape),full,21,1024,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,512,1024,512,1024,1.4431,142.86
seq=1024 bs=4 (exp3 shape),full,22,1024,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,512,1024,512,1.4172,145.46
seq=1024 bs=4 (exp3 shape),full,23,1024,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,F,1024,1024,1024,1024,1.3094,157.44
seq=2048 bs=2 (exp5 shape),fwd,0,256,256,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,2.2629,60.74
seq=2048 bs=2 (exp5 shape),fwd,1,256,256,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,2.2080,62.25
seq=2048 bs=2 (exp5 shape),fwd,2,256,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,1.3053,105.29
seq=2048 bs=2 (exp5 shape),fwd,3,256,512,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,1.3202,104.10
seq=2048 bs=2 (exp5 shape),fwd,4,256,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.9443,145.55
seq=2048 bs=2 (exp5 shape),fwd,5,256,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.9813,140.06
seq=2048 bs=2 (exp5 shape),fwd,6,256,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.7655,179.55
seq=2048 bs=2 (exp5 shape),fwd,7,256,2048,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.7971,172.42
seq=2048 bs=2 (exp5 shape),fwd,8,512,256,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,1.2938,106.23
seq=2048 bs=2 (exp5 shape),fwd,9,512,256,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,1.3017,105.58
seq=2048 bs=2 (exp5 shape),fwd,10,512,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.7608,180.65
seq=2048 bs=2 (exp5 shape),fwd,11,512,512,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.8096,169.75
seq=2048 bs=2 (exp5 shape),fwd,12,512,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6493,211.69
seq=2048 bs=2 (exp5 shape),fwd,13,512,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.7111,193.27
seq=2048 bs=2 (exp5 shape),fwd,14,512,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6549,209.87
seq=2048 bs=2 (exp5 shape),fwd,15,512,2048,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6912,198.83
seq=2048 bs=2 (exp5 shape),fwd,16,1024,256,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.8675,158.42
seq=2048 bs=2 (exp5 shape),fwd,17,1024,256,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.9372,146.65
seq=2048 bs=2 (exp5 shape),fwd,18,1024,512,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6059,226.82
seq=2048 bs=2 (exp5 shape),fwd,19,1024,512,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6693,205.35
seq=2048 bs=2 (exp5 shape),fwd,20,1024,1024,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.5163,266.20
seq=2048 bs=2 (exp5 shape),fwd,21,1024,1024,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.5968,230.30
seq=2048 bs=2 (exp5 shape),fwd,22,1024,2048,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6128,224.29
seq=2048 bs=2 (exp5 shape),fwd,23,1024,2048,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.6486,211.91
seq=2048 bs=2 (exp5 shape),fwd,24,2048,256,HEAD_DIM_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.8080,170.10
seq=2048 bs=2 (exp5 shape),fwd,25,2048,256,SEQ_MINOR,HEAD_DIM_MINOR,HEAD_DIM_MINOR,n/a,n/a,n/a,n/a,n/a,0.8428,163.08
