exp_id	date	tps	mfu_percent	step_time_ms	peak_hbm_gib	config	status	description
exp34	2026-04-23	30285	n/a	135.24	TBD	seq=1024|batch=1|fsdp=4|bf16|jax-native-nnx-port|xla-sdpa-attn	keep	native-JAX (Flax NNX) port of Gemma4 E4B with wiki-native trainer; 30,285 TPS vs torchax 30,570 baseline-seq1024 (-0.9% noise), -9.2% vs exp25 (no splash yet); loss trajectory 3.92->2.30 matches torchax reference within bf16 noise; per-layer parity vs HF PyTorch PASSES (max err 0.031 bf16); writeup 2026-04-23-exp34-jax-baseline-accepted.md
exp35	2026-04-23	30386	n/a	134.80	16.43	seq=1024|batch=1|fsdp=4|bf16|jax-nnx|splash-attn|block=1024|SEQ_MINOR|fused_bwd	parked	splash pallas attention wired into the native-JAX port via jax.experimental.pallas.ops.tpu.splash_attention; +0.33% TPS vs exp34 (flat, within noise) at batch=1 seq=1024; HLO diff shows -65.6ms on convolution-fusion but +16.8ms custom-fusion; peak HBM 16.43 GiB vs 16.85 GiB baseline (-0.4 GiB, enables batch=3 follow-up); loss bit-matches exp34 at step 19 (2.2969); writeup 2026-04-23-exp35-jax-splash-potential.md
exp36	2026-04-23	34614	n/a	355.00	27.11	seq=1024|batch=3|fsdp=4|bf16|jax-nnx|splash-attn|block=1024|SEQ_MINOR|fused_bwd	keep	splash + batch=3 in JAX stack (only env/flag delta vs exp35); +13.9% TPS over exp35 (30,386->34,614), new JAX-stack best; BEATS torchax session-best (exp25 33,372 TPS) by +3.7% without bf16 CE yet; peak HBM 27.11 GiB / 86.75% (fits comfortably — static 16.44 + heap 10.67 + free 4.14); HLO diff: custom-fusion (splash) near-constant 169->175 ms (1.03x) while conv-fusion 549->1512 (2.75x) and loop-fusion 332->1265 (3.81x) grew sub-linearly & super-linearly respectively; collective-permute-done newly prominent at 12.2% step time (SPMD re-shard pattern); loss descends 3.81->1.84 cleanly; writeup 2026-04-23-exp36-jax-splash-batch3-accepted.md
exp37	2026-04-23	34629	n/a	354.85	27.45	seq=1024|batch=3|fsdp=4|bf16|jax-nnx|splash-attn|JAX_CE_DTYPE=bf16	parked	bf16 CE gate on top of exp36 (splash+b=3); +0.04% TPS over exp36 (34,614->34,629) — dead flat; peak HBM 27.45 GiB / 87.84% (+0.34 GiB stack, heap unchanged at 10.67 GiB); loss matches exp36 within 0.3%; HLO graph bit-identical to exp36 minus one implicit-cast in reduction. Root cause of the no-op: the native-JAX port never had the fp32 upcast that torchax exp12 removed — forward_loss has always been bf16 log_softmax by construction (since exp34). Delivered a JAX_CE_DTYPE={bf16,fp32} env-var gate (default bf16=exp36 behavior); the durable artifact is the gate, not a TPS win. Exp 36 remains JAX-stack best at 34,614 TPS. writeup 2026-04-23-exp37-jax-splash-b3-bf16ce-potential.md
exp38	2026-04-23	34634	n/a	354.80	TBD	seq=1024|batch=3|fsdp=4|bf16|splash|bf16_CE|LIBTPU:latency_hiding_scheduler=true	inconclusive	latency-hiding-scheduler flag in isolation on JAX splash+b3 stack; +0.06% flat (mirrors torchax exp 30); ICI-bandwidth floor confirmed on both stacks; not a lever; writeup 2026-04-23-exp38-jax-latency-hiding-potential.md
exp39	2026-04-23	32402	21.58	505.64	TBD	seq=1024|batch=4|fsdp=4|bf16|splash|bf16_CE|selective_remat	discard	JAX stack batch=4 fits where torchax exp 22 OOM'd; -6.4% TPS vs exp36 (memory pressure degrades per-token cost); MFU 23.05->21.58%; b=3 sweet spot confirmed on both stacks; not merged; writeup 2026-04-23-exp39-jax-splash-batch4-rejected.md
exp40	2026-04-23	31809	21.18	515.07	TBD	seq=2048|batch=2|fsdp=4|bf16|splash|bf16_CE|selective_remat	keep	JAX seq=2048 b=2 FITS (torchax exp10/11/23 compile-OOM'd same config); -8.1% vs exp36 (dominated by b=3 s=1024); MFU 23.05->21.18%; proves JAX port has smaller compile-time peak HBM than torchax by the ~1.25 GiB margin; accepted as long-seq reference; writeup 2026-04-23-exp40-jax-seq2048-batch2-accepted.md
exp41	2026-04-23	29832	19.87	411.91	TBD	seq=1024|batch=3|fsdp=4|bf16|splash|bf16_CE|LIBTPU:scoped_vmem_limit_kib=524288	discard	VMEM limit 128 MiB -> 512 MiB on JAX splash+b3 stack; -13.8% TPS; XLA cost model over-commits with bigger budget; default 128 MiB is the sweet spot on v6e-4 for this workload; not merged; writeup 2026-04-23-exp41-jax-vmem-512-rejected.md
exp42	2026-04-23	34629	23.06	354.85	TBD	seq=1024|batch=3|fsdp=4|bf16|splash|bf16_CE|LIBTPU:async_collective_fusion=true	inconclusive	async_collective_fusion flag in isolation on JAX splash+b3 stack; +0.04% flat; third isolation data point (w/ exp 38 latency-hiding + torchax exp 31); bundle regression must be combinatorial; not merged; writeup 2026-04-23-exp42-jax-async-collective-fusion-potential.md
exp43	2026-04-24	n/a	n/a	n/a	n/a	seq=1024|batch=3|fsdp=4|bf16|splash|bf16_CE|tokamax.linear_softmax_cross_entropy_loss	discard	tokamax fused linear+softmax+CE attempted on JAX splash+b3 stack; INVALID — no run. tokamax public API (api.py) has no logits_soft_cap kwarg and Gemma 4 final_logit_softcapping=30.0 is a non-linear tanh on [B,S,V] logits that cannot be folded into hidden or weight (algebraically impossible) and cannot be applied post-kernel without materializing [B,S,V] which defeats the kernel's purpose. Skipping softcap violates program.md "What you CANNOT do". Gap is already catalogued in program.md § Pallas kernels to BUILD → Fused final logit softcap + log-softmax + NLL (build, not drop-in). No code merged. Exp 36 remains JAX-stack best at 34,614 TPS. writeup 2026-04-23-exp43-jax-tokamax-ce-rejected.md
